,pk_obligor_id,retail_customer_id,business_customer_id,pk_snapshot_date,record_creation_date,insert_job_id
0,962,962,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
1,965,965,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
2,966,966,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
3,970,970,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
4,971,971,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
5,973,973,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
6,974,974,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
7,978,978,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
8,982,982,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
9,983,983,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
10,989,989,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
11,993,993,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
12,994,994,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
13,9619,9619,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
14,9626,9626,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
15,9627,9627,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
16,9633,9633,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
17,9639,9639,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
18,9643,9643,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
19,9651,9651,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
20,9656,9656,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
21,9665,9665,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
22,9671,9671,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
23,9694,9694,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
24,9695,9695,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
25,9696,9696,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
26,9699,9699,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
27,9706,9706,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
28,9709,9709,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
29,9751,9751,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
30,9758,9758,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
31,9770,9770,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
32,9772,9772,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
33,9779,9779,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
34,9780,9780,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
35,9787,9787,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
36,9791,9791,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
37,9793,9793,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
38,9803,9803,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
39,9805,9805,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
40,9809,9809,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
41,9822,9822,,2019-12-31,2020-01-13 10:26:45.481000+00:00,c3d6c104-f9df-4cc3-9519-b1fd6359f47d_1549971908345
