,pk_credit_account_id,ifrs9_stage_on_granting_date_final,ifrs9_stage_final,ifrs9_assessment_type,credit_account_costs,credit_account_income,ifrs9_portfolio,poci_flag,expected_cashflow,ifrs9_bucket,pd_value,lgd_value,ccf_value,ead_value,pd_bucket,lgd_bucket,ccf_bucket,pd_vector_entry_id,prepayments_vector_entry_id,lgd_vector_entry_id,ccf_vector_entry_id,collateral_allocated,ecl_balance,ecl_offbalance,begaap_classification,begaap_provision_balance,begaap_provision_offbalance,asset_type,ppa,original_loan_amount,pk_snapshot_date,record_creation_date,insert_job_id,write_off_sum,ecl_balance_eur,ecl_offbalance_eur,begaap_provision_balance_eur,begaap_provision_offbalance_eur,begapp_assessment_type,ead_value_eur
13,AA19335CLLHL,1,1,Collective,0,0,19,N,7575.96,19,0.0181,0.3197,0.5,1988.85,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,11.508619745,0,P_PAST_DUE,0,0,credit,,5200,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
14,AA19335Y4G3X,1,1,Collective,0,0,19,N,19002.9,19,0.0181,0.3197,0.5,2673.54,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,15.470626358,0,P_PAST_DUE,0,0,credit,,30800,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
15,AA19335J7K92,1,1,Collective,0,0,19,N,11719.67,19,0.0181,0.3197,0.5,4961.45,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,28.709777727,0,P_PAST_DUE,0,0,credit,,7000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
16,AA19335CN54T,1,1,Collective,0,0,19,N,6247.62,19,0.0181,0.3197,0.5,1541.97,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,8.922717343,0,P_PAST_DUE,0,0,credit,,13500,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
17,AA193355NFRB,1,1,Collective,0,0,19,N,39276.48,19,0.0181,0.3197,0.5,20408.02,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,118.092436291,0,P_PAST_DUE,0,0,credit,,66000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
18,AA19335LXYV1,1,1,Collective,0,0,19,N,,19,0.0181,0.3197,0.5,-18.16,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,-0.105084111,0,P_PAST_DUE,0,0,credit,,20000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
19,AA19335QCLSB,1,1,Collective,0,0,19,N,84181.46,19,0.0181,0.3197,0.5,16525.76,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,95.627467043,0,P_PAST_DUE,0,0,credit,,28000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
20,AA19335GQR8L,1,1,Collective,0,0,19,N,33348.76,19,0.0181,0.3197,0.5,11365.97,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,65.769981023,0,P_PAST_DUE,0,0,credit,,28000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
21,AA19335YL31Q,1,1,Collective,0,0,19,N,76906.25,19,0.0181,0.3197,0.5,17240.44,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,99.763012891,0,P_PAST_DUE,0,0,credit,,20000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
22,AA19335XNVHH,1,1,Collective,0,0,19,N,22551.06,19,0.0181,0.3197,0.5,6680.76,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,38.658685393,0,P_PAST_DUE,0,0,credit,,15000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
23,AA193350KQ1M,1,1,Collective,0,0,19,N,12377.07,19,0.0181,0.3197,0.5,1946.47,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,11.263384908,0,P_PAST_DUE,0,0,credit,,25000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
24,AA193352Z7LX,1,1,Collective,0,0,19,N,44757.57,19,0.0181,0.3197,0.5,7830.63,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,45.312488639,0,P_PAST_DUE,0,0,credit,,38000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
25,AA1933510L5F,1,1,Collective,0,0,19,N,32048.88,19,0.0181,0.3197,0.5,3617.06,19#1#DPD1_30,19#1#DPD1_30,19,60,NA,100,587,0,20.930370884,0,P_PAST_DUE,0,0,credit,,7000,2019-12-31,2020-01-14 09:41:37+00:00,70ae637b-9515-41e7-8f9d-e3b52beb2353_1557837542148,,,,,,,
