,pk_credit_account_id,previous_credit_account_id,first_credit_account_id,obligor_id,credit_agreement_number,previous_credit_agreement_number,product_id,related_entity_group_id,origin_country_id,origin_branch_id,currency_id,obligor_segment,opening_date,closing_date,interest_rate,interest_type,interest_base,interest_convention,margin,dof_dpd,dof_dpd_above_threshold,dpd,dpd_above_threshold,credit_score_on_granting_date,credit_rating_on_granting_date,credit_score,credit_rating,obligor_rating,accountancy_type,ltv,ltv_bucket,pd_on_granting_date,pd,scoring_model_version,actual_debt,gbv,principal_due,principal_undue,interest_accrued_due,interest_accrued_undue,restricted_interest,eir,eir_adjustment,income_cost_in_time,obv_conditional,obv_unconditional,monthly_repayment_of_principal,monthly_withdrawal_of_principal,monthly_repayment_of_interest,monthly_writeoffs,is_agreement_terminated,npv_original,npv_actual,forbearance_flag,npl_flag,default_flag,asset_type,ppa,original_loan_amount,ifrs9_stage,credit_repayment_schedule_id,sales,is_ind_significant,pk_snapshot_date,record_creation_date,insert_job_id,fair_value,ifrs9_maturity,ifrs9_stage_final,gbv_eur,obv_conditional_eur,obv_unconditional_eur,begaap_classification
2389,AA19335DJ8N3,,0,19164,AA19335DJ8N3,,45,,1,1,44,1,2014-05-28 00:00:00+00:00,2034-05-31,1.99277029,FIXED,A4,1,1.99277029,,,0,,,,190,10C,0,,0,0,,0,4.3,282270.77,282270.77,0,282255.3,0,15.47,0,1.99277029,0,482.29,,0,1409.3,0,466.82,,False,169637.29,169637.29,N,N,N,credit,,370000,1,AA19335DJ8N3_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2390,AA19335XR275,,0,8090,AA19335XR275,,45,,1,1,44,1,2006-02-07 00:00:00+00:00,2021-02-28,0.25,FIXED,A4,1,0.25,,,0,,,,205,10C,0,,0,0,,0,4.3,8522.51,8522.51,0,8522.45,0,0.06,0,0.25,0,1.960000000000001,,0,607.79,0,1.9,,False,64325.59,64325.59,N,N,N,credit,,100000,1,AA19335XR275_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2391,AA193355Y0XC,,0,2834,AA193355Y0XC,,45,,1,1,44,1,2010-02-24 00:00:00+00:00,2035-02-28,1.34938169,FIXED,A4,1,1.34938169,,,0,,,,205,10C,0,,0,0,,0,4.3,232478.33,232478.33,0,232469.67,0,8.66,0,1.34938169,0,269.74999999999994,,0,1151.23,0,261.09,,False,162233.29,162233.29,N,N,N,credit,,350000,1,AA193355Y0XC_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2392,AA19335MK2GJ,,0,18727,AA19335MK2GJ,,45,,1,1,44,1,2013-05-28 00:00:00+00:00,2028-05-31,1.94517029,FIXED,A4,1,1.94517029,,,0,,,,190,10C,0,,0,0,,0,4.3,51113.06,51113.06,0,51110.32,0,2.74,0,1.94517029,0,85.60999999999997,,0,465.75,0,82.87,,False,50303.78,50303.78,N,N,N,credit,,85000,1,AA19335MK2GJ_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2393,AA19335F9RBG,,0,17813,AA19335F9RBG,,45,,1,1,44,1,2010-07-01 00:00:00+00:00,2034-06-30,1.52482488,FIXED,A4,1,1.52482488,,,0,,,,190,10C,0,,0,0,,0,4.3,285547.61,285547.61,0,285535.61,0,12,0,1.52482488,0,374.1599999999999,,0,1466.63,0,362.16,,False,194324.57,194324.57,N,N,N,credit,,430000,1,AA19335F9RBG_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2394,AA19335TGD7Q,,0,18631,AA19335TGD7Q,,45,,1,1,44,1,2009-08-18 00:00:00+00:00,2029-08-31,1.03239277,FIXED,A4,1,1.03239277,,,0,,,,190,10C,0,,0,0,,0,4.3,211140.52,211140.52,0,211134.5,0,6.02,0,1.03239277,0,188.29000000000002,,0,1730.53,0,182.27,,False,262783.38,262783.38,N,N,N,credit,,400000,1,AA19335TGD7Q_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2395,AA193358WM70,,0,19542,AA193358WM70,,45,,1,1,44,1,2006-02-22 00:00:00+00:00,2021-02-28,0.95,FIXED,A4,1,0.95,,,0,,,,190,10C,0,,0,0,,0,4.3,36576.82,36576.82,0,36575.86,0,0.96,0,0.95,0,31.840000000000003,,0,2597.15,0,30.88,,False,218795,218795,N,N,N,credit,,420000,1,AA193358WM70_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2396,AA19335RJX17,,0,1860,AA19335RJX17,,45,,1,1,44,1,2014-02-11 00:00:00+00:00,2034-02-28,1.94508169,FIXED,A4,1,1.94508169,,,0,,,,205,10C,0,,0,0,,0,4.3,91592.77,91592.77,0,91587.87,0,4.9,0,1.94508169,0,152.8,,0,468.2,0,147.9,,False,56497.7,56497.7,N,N,N,credit,,122000,1,AA19335RJX17_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2397,AA19335L0SP4,,0,2657,AA19335L0SP4,,45,,1,1,44,1,2010-08-30 00:00:00+00:00,2025-08-31,1.11969277,FIXED,A4,1,1.11969277,,,0,,,,205,10C,0,,0,0,,0,4.3,143279.68,143279.68,0,143275.25,0,4.43,0,1.11969277,0,139.33,,0,2040.27,0,134.9,,False,279319.17,279319.17,N,N,N,credit,,350000,1,AA19335L0SP4_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2398,AA193355P97S,,0,2780,AA193355P97S,,45,,1,1,44,1,2009-07-31 00:00:00+00:00,2039-07-31,1.14589501,FIXED,A4,1,1.14589501,,,0,,,,205,10C,0,,0,0,,0,4.3,99940.48,99940.48,0,99937.32,0,3.16,0,1.14589501,0,98.46000000000004,,0,379.4,0,95.3,,False,60766.87,60766.87,N,N,N,credit,,140000,1,AA193355P97S_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2399,AA19335DD7NP,,0,4357,AA19335DD7NP,,45,,1,1,44,1,2011-12-12 00:00:00+00:00,2036-12-31,0.73943088,FIXED,A4,1,0.73943088,,,0,,,,205,10C,0,,0,0,,0,4.3,213807.62,213807.62,0,213803.24,0,4.38,0,0.73943088,0,136.29000000000005,,0,983.49,0,131.91,,False,195200.82,195200.82,N,N,N,credit,,300000,1,AA19335DD7NP_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2400,AA19335D9Q1C,,0,622,AA19335D9Q1C,,45,,1,1,44,1,2010-10-08 00:00:00+00:00,2020-10-31,1.32952286,FIXED,A4,1,1.32952286,,,0,,,,205,10C,0,,0,0,,0,4.3,5453.06,5453.06,0,5452.86,0,0.2,0,1.32952286,0,6.8,,0,542,0,6.6,,False,34645.76,34645.76,N,N,N,credit,,60000,1,AA19335D9Q1C_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2401,AA19335J54LV,,0,17896,AA19335J54LV,,45,,1,1,44,1,2009-12-21 00:00:00+00:00,2034-12-31,1.08083088,FIXED,A4,1,1.08083088,,,0,,,,190,10C,0,,0,0,,0,4.3,144173.25,144173.25,0,144168.94,0,4.31,0,1.08083088,0,134.18999999999997,,0,737.76,0,129.88,,False,115583.01,115583.01,N,N,N,credit,,220000,1,AA19335J54LV_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2402,AA193351T9ND,,0,18242,AA193351T9ND,,45,,1,1,44,1,2016-04-01 00:00:00+00:00,2023-03-31,0.79019501,FIXED,A4,1,0.79019501,,,0,,,,190,10C,0,,0,0,,0,4.3,65387.18,65387.18,0,65385.75,0,1.43,0,0.79019501,0,45.41999999999999,,0,1654.66,0,43.99,,False,243454.02,243454.02,N,N,N,credit,,138627,1,AA193351T9ND_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
2403,AA19335PSTDT,,0,17896,AA19335PSTDT,,45,,1,1,44,1,2010-04-30 00:00:00+00:00,2020-04-30,1.65785856,FIXED,A4,1,1.65785856,,,0,,,,190,10C,0,,0,0,,0,4.3,370.88,370.88,0,370.86,0,0.02,0,1.65785856,0,0.6500000000000001,,0,92.41,0,0.63,,False,3178.04,3178.04,N,N,N,credit,,10000,1,AA19335PSTDT_20200111,,False,2019-12-31,2020-01-14 08:44:43+00:00,ebbac50a-7333-4ea8-93e5-c6b7240dd4e0_1547187050634,,,,,,,
